"X1","Year","URL"
"3",1942,"boxscores/194211010nyg.htm"
"3",1942,"boxscores/194211010gnb.htm"
"3",1942,"boxscores/194211010was.htm"
"3",1942,"boxscores/194211080bkn.htm"
"3",1942,"boxscores/194211080ram.htm"
"3",1942,"boxscores/194211080phi.htm"
"3",1942,"boxscores/194211080det.htm"
"3",1942,"boxscores/194211080was.htm"
"3",1942,"boxscores/194211150bkn.htm"
"3",1942,"boxscores/194211150chi.htm"
"3",1942,"boxscores/194211150nyg.htm"
"3",1942,"boxscores/194211150ram.htm"
"3",1942,"boxscores/194211220det.htm"
"3",1942,"boxscores/194211220was.htm"
"3",1942,"boxscores/194211220nyg.htm"
"3",1942,"boxscores/194211220pit.htm"
"3",1942,"boxscores/194211290pit.htm"
"3",1942,"boxscores/194211290nyg.htm"
"3",1942,"boxscores/194211290chi.htm"
"3",1942,"boxscores/194211290phi.htm"
"3",1942,"boxscores/194211290det.htm"
"3",1942,"boxscores/194212060gnb.htm"
"3",1942,"boxscores/194212060crd.htm"
"3",1942,"boxscores/194212060nyg.htm"
"3",1942,"boxscores/194212130was.htm"
"4",1943,"boxscores/194309190det.htm"
"4",1943,"boxscores/194309260gnb.htm"
"4",1943,"boxscores/194309260det.htm"
"4",1943,"boxscores/194310020phi.htm"
"4",1943,"boxscores/194310030det.htm"
"4",1943,"boxscores/194310030crd.htm"
"4",1943,"boxscores/194310090phi.htm"
"4",1943,"boxscores/194310100was.htm"
"4",1943,"boxscores/194310100chi.htm"
"4",1943,"boxscores/194310100gnb.htm"
"4",1943,"boxscores/194310170gnb.htm"
"4",1943,"boxscores/194310170chi.htm"
"4",1943,"boxscores/194310170bkn.htm"
"4",1943,"boxscores/194310170crd.htm"
"4",1943,"boxscores/194310240nyg.htm"
"4",1943,"boxscores/194310240was.htm"
"4",1943,"boxscores/194310240chi.htm"
"4",1943,"boxscores/194310240det.htm"
"4",1943,"boxscores/194310310nyg.htm"
"4",1943,"boxscores/194310310chi.htm"
"4",1943,"boxscores/194310310phi.htm"
"4",1943,"boxscores/194310310bkn.htm"
"4",1943,"boxscores/194311070phi.htm"
"4",1943,"boxscores/194311070chi.htm"
"4",1943,"boxscores/194311070bkn.htm"
"4",1943,"boxscores/194311070det.htm"
"4",1943,"boxscores/194311140bkn.htm"
"4",1943,"boxscores/194311140gnb.htm"
"4",1943,"boxscores/194311140nyg.htm"
"4",1943,"boxscores/194311140was.htm"
"4",1943,"boxscores/194311210bkn.htm"
"4",1943,"boxscores/194311210nyg.htm"
"4",1943,"boxscores/194311210was.htm"
